"geneID","2_S1","2M_S7","6_S2","6M_S8","8_S3","8M_S9","10_S4","10M_S10","12_S5","12M_S11","13_S6","13M_S12"
"47","EBG00001172633",3386.4,4957.31,4730.29,4877.38,4240.78,4084.94,3350.27,5528.17,3910.7,6726.41,4746.85,3256.16
"48","EBG00001172634",28346.1,25433.3,16052.9,19615.9,14152.1,15145.9,14753.5,14074.5,14416,16602.9,23245.4,15477.4
"49","EBG00001172635",16516.7,19639.4,16315.9,17331.2,14345.5,22153.7,13141.2,17350.3,11005.2,21532.5,8345.46,17796.1
"50","EBG00001172639",4392.34,5178.14,8157.68,7223.93,9314.43,5617.1,6463.51,5214.99,7760.54,3806.03,8447.14,7652.17
"51","EBG00001172641",16082.5,14652.5,9673.03,9910.38,9375.62,12500.3,9028.42,13535,8280.34,17308.3,7529.71,10505.4
"52","EBG00001172646",16082.5,14652.5,9673.03,9910.38,9375.62,12500.3,9028.42,13535,8280.34,17308.3,7529.71,10505.4
"53","EBG00001172648",13.3768,1.86894,9.53819,7.38478,89.2957,76.4316,30.4359,5.757,598.715,5.80623,18.0024,35.5018
"54","EBG00001172649",25.3922,40.2502,47.9495,168.715,17.716,23.2802,3.30846,20.7316,9.50227,25.1157,10.4667,26.2923
"55","EBG00001172655",14.3392,1.86894,8.74497,7.38478,89.2957,76.4316,30.4359,5.757,598.715,5.80623,18.0024,35.5018
"56","EBG00001172659",28346.1,25433.3,16052.9,19615.9,14152.1,15145.9,14753.5,14074.5,14416,16602.9,23245.4,15477.4
"57","EBG00001172660",19183.3,19170.3,25680.5,21835.6,27112.6,20588.2,27116,21928.2,30582.6,19769.9,25090,23824.1
"58","EBG00001172661",25.3922,40.2502,47.9495,168.715,17.716,23.2802,3.30846,20.7316,9.50227,25.1157,10.4667,26.2923
"59","EBG00001172665",9412.08,9048.95,33984,24346.2,27669.8,20429.3,36541.2,30123.4,26687.2,22147.4,17893.8,31716.3
"60","EBG00001172666",21.7647,43.9093,69.7447,101.229,115.154,56.907,86.0199,27.6421,95.0227,20.9297,48.8446,60.0967
