"geneID","1-Rep1_S1","1-Rep2_S25","1-Rep3_S13","1M-Rep1_S13","1M-Rep2_S1","1M-Rep3_S25","2-Rep1_S2","2-Rep2_S26","2-Rep3_S14","2M-Rep1_S14","2M-Rep2_S2","2M-Rep3_S26","3-Rep1_S3","3-Rep2_S27","3-Rep3_S15","3M-Rep1_S15","3M-Rep2_S3","3M-Rep3_S27","4-Rep1_S4","4-Rep2_S28","4-Rep3_S16","4M-Rep1_S16","4M-Rep2_S4","4M-Rep3_S28","5-Rep1_S5","5-Rep2_S29","5-Rep3_S17","5M-Rep1_S17","5M-Rep2_S5","5M-Rep3_S29","6-Rep1_S6","6-Rep2_S30","6-Rep3_S18","6M-Rep1_S18","6M-Rep2_S6","6M-Rep3_S30","7-Rep1_S7","7-Rep2_S31","7-Rep3_S19","7M-Rep1_S19","7M-Rep2_S7","7M-Rep3_S31","8-Rep1_S8","8-Rep2_S32","8-Rep3_S20","8M-Rep1_S20","8M-Rep2_S8","8M-Rep3_S32","9-Rep1_S9","9-Rep2_S33","9-Rep3_S21","9M-Rep1_S21","9M-Rep2_S9","9M-Rep3_S33","10-Rep1_S10","10-Rep2_S34","10-Rep3_S22","10M-Rep1_S22","10M-Rep2_S10","10M-Rep3_S34","11-Rep1_S11","11-Rep2_S35","11-Rep3_S23","11M-Rep1_S23","11M-Rep2_S11","11M-Rep3_S35","12-Rep1_S12","12-Rep2_S36","12-Rep3_S24","12M-Rep1_S24","12M-Rep2_S12","12M-Rep3_S36"
"11","EBG00000011033",2538.89,2335.12,2602.97,1698.77,2734.52,1914.84,1896.57,2482.57,3087.64,1506.82,2633.84,1934.54,1501.31,2639.11,3348.64,1309.92,2383.6,2468.79,1610.9,2185.13,3163.84,1270.03,3100.37,3007.33,1079.73,2487.92,3059.56,1810.7,2532.14,2371.51,1481.43,2224.66,2337.09,1633.32,1810.18,2110.94,865.048,2260.41,2452.01,1414.94,2105.82,1525.39,709.923,2256.22,1530.93,1111.05,1853.12,1524.9,984.647,1667.51,1533.71,1244.32,1654.8,1202.97,696.942,1407.99,1709.47,1258.18,1693.62,1509.21,707.529,1503.05,1213.96,940.036,1706.71,1348.97,554.433,1435.27,667.589,2172.82,1870.2,769.935
"12","EBG00000011034",4490.56,5005.65,3308.34,6206.31,5342.06,3968.61,5334.73,5889.26,4966.54,6484.08,6502.01,7734.33,4990.2,5609.44,5104.12,5341.41,6371.24,6361.18,5684.08,8695.81,5510.53,5743.36,5979.38,7190.25,5307.72,6890.79,7003.95,4714.6,4556.35,5196.59,4203.37,8261.16,8302.2,3704.76,9689.69,5248.96,5175.8,8161.61,6075.29,4461.23,8562.13,5225.08,3873,8167.85,6246.54,3921.72,9167.16,3103.26,5095.13,8255.28,6965.17,3594.14,9133.37,4654.28,5700.56,8509.07,5167.62,5116.41,9424.36,4090.89,4162.24,7280.64,6514.05,4089.98,9462.08,2181.27,3000.33,7455.73,4208.61,3559.82,7649.55,3877.26
"13","EBG00000011035",2580.35,2006.66,2381.68,2548.27,2665.78,3205.34,2682.29,2556.76,2566.68,2523.29,2430.46,3402.15,2716.4,2450.63,2829.62,2798.56,2036.22,2824.96,2815.73,2568.76,2830.64,2500.48,2739.37,3070.42,2132.16,2642.76,2708.32,1777.49,1946.44,2356.73,1713.5,2990.9,2446.07,1416.87,2038.4,2671.91,2054.02,2987.3,2524.79,1684.41,2303.45,2489.74,2259.08,2877.7,1770.07,1496.14,2503.84,2592.92,1252.49,1923.72,2865.84,1691.18,1818.28,2110.94,1480.57,1789.52,2727.1,2034.13,2351.04,2429.81,1615.1,1929.22,2144.49,1610.69,2195.3,1698.46,1522.83,1864.66,2224.91,1369.39,2275.42,1792.18
"14","EBG00000011037",4490.56,5005.65,3308.34,6206.31,5342.06,3968.61,5334.73,5889.26,4966.54,6484.08,6502.01,7734.33,4990.2,5609.44,5104.12,5341.41,6371.24,6361.18,5684.08,8695.81,5510.53,5743.36,5979.38,7190.25,5307.72,6890.79,7003.95,4714.6,4556.35,5196.59,4203.37,8261.16,8302.2,3704.76,9689.69,5248.96,5175.8,8161.61,6075.29,4461.23,8562.13,5225.08,3873,8167.85,6246.54,3921.72,9167.16,3103.26,5095.13,8255.28,6965.17,3594.14,9133.37,4654.28,5700.56,8509.07,5167.62,5116.41,9424.36,4090.89,4162.24,7280.64,6514.05,4089.98,9462.08,2181.27,3000.33,7455.73,4208.61,3559.82,7649.55,3877.26
"15","EBG00000011038",524.584,629.408,806.206,239.47,635.351,341.936,346.273,666.46,858.362,235.056,610.976,284.629,299.586,655.037,788.319,185.299,578.024,527.303,323.334,474.61,743.447,249.733,690.63,564.667,190.608,682.102,669.299,541.921,659.644,495.314,414.976,445.472,484.098,456.857,411.405,415.91,182.375,572.365,592.672,299.295,549.446,185.992,119.172,490.902,455.165,295.551,393.274,312.073,248.867,451.008,470.414,222.787,372.804,195.219,130.907,352.249,508.155,255.538,367.344,341.52,123.738,339.661,275.986,185.996,436.379,440.523,122.472,352.846,79.7562,141.469,533.26,221.011
"16","EBG00000011040",1592.37,1272.12,1378.15,1350.71,1543.77,1592.97,1558.61,1526.81,1448.04,1537.76,1617.33,1423.05,1311.9,1579.76,1543.13,1150.37,1266.17,1350.32,1496.12,1527.11,1954.7,1223.03,1764.12,2023.88,1040.95,1832.19,1840.08,1320.84,1267.17,1271.4,1350.75,1680.7,1826.82,1166.41,1277.8,1171.53,1012.83,1762.25,1874.75,1231.43,1394.33,699.799,925.652,1814.51,1350.8,873.177,1469.12,831.098,925.135,1566.65,1331.12,901.106,1433.47,858.842,880.933,1244.53,1510.67,1102.25,1537.47,1043.01,765.578,1323.4,1259.84,826.648,1688.06,821.307,699.245,1388.62,585.312,837.73,1658.61,577.421
"17","EBG00000011041",2152.71,2324.33,2585.76,1761.33,2665.96,2638.3,2052.53,2790.25,2709.8,1628.97,2504.41,2167.56,2005.7,2463.7,2616.3,1801.67,2075.96,2469.94,2121.3,2031.5,2355.18,1852.3,2506.8,2455.93,1367.96,2444.2,2439.94,1882.1,2139.29,1922.89,1791.78,2284.95,2172.34,1602.55,1694.78,1877.48,1457.77,2426.63,2271.91,1575.95,1984.18,1285.72,1280.24,2239.54,1687.55,1294.4,1963.27,1695.12,1289.16,1761.66,2182.96,1399.35,1763.86,1246.94,960.6,1526.75,2182.78,1339.14,1954.74,1669.93,1073.46,1615.43,1605.57,1174.29,1952.22,1508.33,918.539,1671.42,782.792,703.718,1985.93,1159.11
"18","EBG00000011044",628.595,488.164,635.789,458.088,563.74,562.694,598.269,576.859,664.238,479.007,591.646,588.026,467.151,594.195,632.94,460.871,533.014,390.595,581.231,597.149,675.748,446.047,759.071,700.979,381.992,646.15,667.992,578.622,605.491,521.442,468.313,666.557,668.516,408.725,501.523,395.856,345.033,715.097,558.98,371.539,584.257,192.234,242.883,692.182,359.709,248.117,566.769,249.028,302.968,564.31,397.844,236.818,574.971,212.22,205.272,464.969,386.823,317.96,558.638,276.229,251.707,439.488,283.445,248.666,618.27,241.577,260.391,510.279,137.85,324.049,606.453,158.551
"19","EBG00000011045",4490.56,5005.65,3308.34,6206.31,5342.06,3968.61,5334.73,5889.26,4966.54,6484.08,6502.01,7734.33,4990.2,5609.44,5104.12,5341.41,6371.24,6361.18,5684.08,8695.81,5510.53,5743.36,5979.38,7190.25,5307.72,6890.79,7003.95,4714.6,4556.35,5196.59,4203.37,8261.16,8302.2,3704.76,9689.69,5248.96,5175.8,8161.61,6075.29,4461.23,8562.13,5225.08,3873,8167.85,6246.54,3921.72,9167.16,3103.26,5095.13,8255.28,6965.17,3594.14,9133.37,4654.28,5700.56,8509.07,5167.62,5116.41,9424.36,4090.89,4162.24,7280.64,6514.05,4089.98,9462.08,2181.27,3000.33,7455.73,4208.61,3559.82,7649.55,3877.26
"20","EBG00000011046",2538.89,2335.12,2602.97,1698.77,2734.52,1914.84,1896.57,2482.57,3087.64,1506.82,2633.84,1934.54,1501.31,2639.11,3348.64,1309.92,2383.6,2468.79,1610.9,2185.13,3163.84,1270.03,3100.37,3007.33,1079.73,2487.92,3059.56,1810.7,2532.14,2371.51,1481.43,2224.66,2337.09,1633.32,1810.18,2110.94,865.048,2260.41,2452.01,1414.94,2105.82,1525.39,709.923,2256.22,1530.93,1111.05,1853.12,1524.9,984.647,1667.51,1533.71,1244.32,1654.8,1202.97,696.942,1407.99,1709.47,1258.18,1693.62,1509.21,707.529,1503.05,1213.96,940.036,1706.71,1348.97,554.433,1435.27,667.589,2172.82,1870.2,769.935
